"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"2456",12966,3088.1755,3047.5417,49,1,3,1,0,0,2013
"10873",64643,4370.7612,4356.6313,46,0,2,0,0,1,2019
"8610",49407,24778.762,22615.535,24,0,1,0,0,1,2017
"3377",13810,11618.479,12802.731,40,1,3,2,0,1,2011
"2211",12720,37255.949,38621.574,39,1,1,0,0,1,2011
"5204",25087,31556.143,30143.18,46,1,5,2,0,1,2019
"4386",19397,10717.798,11799.41,39,1,3,2,0,0,2017
"3371",13808,36000,32000,64,0,1,0,1,0,2015
"2390",12887,25904.566,25579.016,48,1,1,0,0,1,2020
"12979",79191,26415.471,31897.926,43,1,3,1,0,0,2016
"710",2501,33923.305,43264.504,60,1,2,0,0,1,2017
"2392",12889,42557.27,43527.695,80,0,2,0,0,0,2012
"1724",12069,26280.717,27072.053,84,0,2,0,0,0,2012
"9840",57855,15560.207,21929.824,64,1,1,0,1,0,2016
"8213",46602,19600,18450,77,0,2,0,0,0,2015
"9348",54535,30143.18,30143.18,71,0,1,0,0,0,2019
"6068",31479,19896.332,20227.273,64,0,2,0,0,0,2016
"2039",12522,39396.379,38229.375,74,1,2,0,0,0,2014
"8947",51831,32969.102,3767.8975,60,1,2,0,0,0,2019
"3339",13792,65077.051,65077.051,50,0,2,0,0,1,2012
"9510",55677,0,33319.449,43,0,4,2,0,1,2012
"4500",20251,20316.943,20316.943,55,0,5,1,0,1,2013
"3920",16026,31977.672,22926.635,38,0,6,4,0,1,2016
"1329",10736,20978.346,1701.4695,71,1,1,0,0,0,2018
"1286",10656,39046.23,40608.078,58,0,1,0,0,1,2012
"12371",74844,2297.4607,29764.674,71,1,2,0,0,0,2020
"11609",69714,36672.219,33319.449,45,0,4,2,0,0,2012
"2973",13418,52245.023,44697.277,60,1,3,0,0,1,2013
"12069",73051,85526.93,83713.141,49,0,4,2,1,1,2020
"5865",30142,39588.168,22235.111,50,0,3,1,1,1,2018
"13761",84819,19533.066,21393.359,22,0,1,0,0,1,2020
"642",2165,32791.957,27068.832,77,0,2,0,0,0,2018
"8111",45717,41860.016,22235.111,72,0,2,0,0,0,2018
"8121",45837,25565.389,25565.389,55,0,2,0,0,1,2017
"12813",78097,46460.176,43264.504,39,1,3,1,0,1,2017
"13913",85765,45135.566,39872.41,39,0,4,2,0,1,2016
"12482",75552,1311.5059,21393.359,67,0,1,0,0,0,2020
"14180",87584,57576.039,56928.656,60,0,2,0,0,1,2020
"14306",88527,37659.785,38348.082,62,0,2,0,0,0,2017
"5803",29866,74960.125,112141.15,43,1,2,0,0,1,2016
"8790",50726,12525.151,12072.435,50,1,1,0,0,0,2014
"11742",70893,0,21393.359,53,1,4,2,0,1,2020
"2305",12837,36737,36737,65,0,2,0,0,0,2019
"9518",55792,0.9419744,3767.8975,29,1,3,1,0,1,2019
"2228",12730,14694,32000,83,1,2,0,0,0,2015
"1118",10133,42165.07,42165.07,74,0,2,0,0,0,2016
"9202",53586,39414.871,44697.277,40,0,1,0,1,1,2013
"4075",17282,9419.7441,9655.2373,81,0,1,0,0,0,2019
"8104",45587,46972.375,3720.5842,73,0,2,0,0,0,2020
"7313",39469,28282.137,27471.863,35,1,2,1,0,1,2020
"10105",59557,21730.383,8802.8174,26,1,1,0,1,1,2014
"8275",46921,32141.406,32507.111,70,0,2,0,1,0,2013
"3319",13764,41162.016,41467.098,82,0,2,0,0,0,2012
"4663",21594,22336.283,35398.23,38,0,4,2,0,0,2017
"4748",22246,73859.242,60421.5,41,1,4,2,0,1,2018
"2955",13411,51168.25,120025.6,51,0,2,0,0,1,2011
"3823",15441,32121.09,34538.805,80,0,1,0,0,0,2013
"13253",81260,42565.598,65077.051,41,0,5,3,1,1,2012
"450",1375,35936.324,36854.746,70,1,1,0,0,0,2019
"2668",13186,43429.82,33319.449,47,1,3,1,0,1,2012
"6286",32923,36931.816,31897.926,46,1,4,2,0,1,2016
"12881",78430,36266.012,30143.18,66,1,1,0,0,0,2019
"11814",71360,18682.398,17699.115,63,0,1,0,0,0,2017
"4831",22892,4032.9133,3961.8042,33,1,2,0,0,1,2013
"7203",38970,23549.359,29201.205,67,1,1,0,0,1,2019
"14",21,43503.48,48393.27,76,0,2,0,0,0,2018
"14385",89160,39331.012,34802.785,31,1,3,1,1,1,2018
"9041",52240,40458.238,23965.584,55,0,4,1,0,1,2018
